end_of_period,loan_number,region,country_code,country,borrower,guarantor_country_code,guarantor,loan_type,loan_status,interest_rate,project_id,project_name_,original_principal_amount,cancelled_amount,undisbursed_amount,disbursed_amount,repaid_to_ibrd,due_to_ibrd,exchange_adjustment,borrower_s_obligation,sold_3rd_party,repaid_3rd_party,due_3rd_party,loans_held,first_repayment_date,last_repayment_date,agreement_signing_date,board_approval_date,effective_date_most_recent_,closed_date_most_recent_
2012-12-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-01-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-02-28,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-03-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-04-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-05-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-06-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-07-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-08-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-09-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-10-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-11-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2013-12-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.0,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-01-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-02-28,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-03-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-04-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.0,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-05-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-06-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-07-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-08-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-09-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-10-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-11-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2014-12-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-01-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-02-28,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-03-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-04-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.0,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-05-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-06-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-07-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-08-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-09-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-10-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-11-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2015-12-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-01-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-02-29,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-03-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-04-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-05-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-06-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-07-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-08-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-09-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-10-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-11-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2016-12-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2017-01-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2017-02-28,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2017-03-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2017-04-30,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
2017-05-31,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,249962000.0,249962000.0,0.0,0.0,1952-11-01,1977-05-01,1947-05-09,1947-05-09,1947-06-09,1947-12-31
